account_id,graph_anomaly_score,contributing_factors
8016448B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80164A9C0,0.1,isolated micro-cluster (size=8)
80164B550,0.1541,isolated micro-cluster (size=8)
80164F8A0,0.1,isolated micro-cluster (size=5)
801651CC0,0.1,isolated micro-cluster (size=5)
801666430,0.1,isolated micro-cluster (size=5)
8016723A0,0.2581,"high flow betweenness centrality (bc=6.92e-07); isolated micro-cluster (size=6); high transaction volume (in=13, out=49)"
80167DDD0,0.0,baseline structural profile; no graph anomalies detected
8016A5360,0.209,topological outlier in Node2Vec space (DBSCAN outlier)
8016A54A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8016A9DB0,0.0,baseline structural profile; no graph anomalies detected
8016B8CD0,0.1,isolated micro-cluster (size=7)
8016CC350,0.0,baseline structural profile; no graph anomalies detected
8016D7060,0.1,isolated micro-cluster (size=7)
8016D8110,0.0,baseline structural profile; no graph anomalies detected
8016DB1E0,0.1,isolated micro-cluster (size=9)
8016DF190,0.218,topological outlier in Node2Vec space (DBSCAN outlier)
8016E3AA0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80170D0A0,0.0,baseline structural profile; no graph anomalies detected
80174B200,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80174EF70,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801772420,0.0,baseline structural profile; no graph anomalies detected
80177CEB0,0.0,baseline structural profile; no graph anomalies detected
801798880,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80179F360,0.0,baseline structural profile; no graph anomalies detected
8017BCCD0,0.0,baseline structural profile; no graph anomalies detected
8017BE720,0.0,baseline structural profile; no graph anomalies detected
8017C71A0,0.0,baseline structural profile; no graph anomalies detected
8017CB230,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8017D4DA0,0.1,isolated micro-cluster (size=6)
8017D7AF0,0.0,baseline structural profile; no graph anomalies detected
801801B40,0.1,isolated micro-cluster (size=5)
8018204F0,0.0,baseline structural profile; no graph anomalies detected
8018238B0,0.0,baseline structural profile; no graph anomalies detected
801827EC0,0.2311,"high flow betweenness centrality (bc=5.19e-07); isolated micro-cluster (size=7); high transaction volume (in=50, out=27)"
801834370,0.0,baseline structural profile; no graph anomalies detected
80184DA00,0.1,isolated micro-cluster (size=8)
801857EB0,0.2311,"high flow betweenness centrality (bc=5.19e-07); isolated micro-cluster (size=7); high transaction volume (in=27, out=27)"
80185BB80,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801860520,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80186E730,0.2221,"isolated micro-cluster (size=7); high transaction volume (in=12, out=69)"
801873FA0,0.1,isolated micro-cluster (size=5)
80188C080,0.1,isolated micro-cluster (size=6)
8018AF090,0.1,isolated micro-cluster (size=9)
8018C98C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8018CBE20,0.1,isolated micro-cluster (size=5)
8018CD260,0.0,baseline structural profile; no graph anomalies detected
8018E0040,0.177,"isolated micro-cluster (size=5); high transaction volume (in=46, out=31)"
80192A260,0.0,baseline structural profile; no graph anomalies detected
80192BFB0,0.0901,high flow betweenness centrality (bc=5.77e-07)
80192FEF0,0.0,baseline structural profile; no graph anomalies detected
801958E70,0.0,baseline structural profile; no graph anomalies detected
80195BB20,0.0,baseline structural profile; no graph anomalies detected
8019739C0,0.0,baseline structural profile; no graph anomalies detected
801986330,0.0,baseline structural profile; no graph anomalies detected
8019C1290,0.15,"isolated micro-cluster (size=7); high transaction volume (in=1, out=59)"
8019C1330,0.1,isolated micro-cluster (size=7)
8019C1560,0.1,isolated micro-cluster (size=7)
8019C23D0,0.1,isolated micro-cluster (size=7)
8019C9AA0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8019CF270,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8019D53B0,0.0,baseline structural profile; no graph anomalies detected
8019D82F0,0.0,baseline structural profile; no graph anomalies detected
8019E4B60,0.0,baseline structural profile; no graph anomalies detected
8019F3C80,0.1721,isolated micro-cluster (size=7)
8019FFC80,0.0,baseline structural profile; no graph anomalies detected
801A179B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801A19640,0.0,baseline structural profile; no graph anomalies detected
801A1ED50,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801A1F4D0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801A21E40,0.0,baseline structural profile; no graph anomalies detected
801A22E00,0.218,topological outlier in Node2Vec space (DBSCAN outlier)
801A27B20,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801A2ECA0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801A36C20,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801A7E980,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801A83B10,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801AAB6A0,0.1,isolated micro-cluster (size=5)
801AAE1B0,0.186,"isolated micro-cluster (size=5); high transaction volume (in=36, out=33)"
801AB3040,0.1,isolated micro-cluster (size=5)
801AD8570,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801AD9D90,0.0,baseline structural profile; no graph anomalies detected
801AF9510,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801B0D040,0.1,isolated micro-cluster (size=7)
801B23910,0.0,baseline structural profile; no graph anomalies detected
801B28780,0.1,isolated micro-cluster (size=5)
801B28870,0.1,isolated micro-cluster (size=5)
801B28960,0.1,isolated micro-cluster (size=5)
801B289B0,0.1,isolated micro-cluster (size=5)
801B28A50,0.1,isolated micro-cluster (size=5)
801B3D440,0.1,isolated micro-cluster (size=5)
801B565E0,0.0,baseline structural profile; no graph anomalies detected
801B5F4E0,0.0,baseline structural profile; no graph anomalies detected
801B850B0,0.0,baseline structural profile; no graph anomalies detected
801B8EBB0,0.0,baseline structural profile; no graph anomalies detected
801BB7120,0.0,baseline structural profile; no graph anomalies detected
801BCA760,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801BEED90,0.0,baseline structural profile; no graph anomalies detected
801BFB960,0.1,isolated micro-cluster (size=8)
801C04D80,0.0,baseline structural profile; no graph anomalies detected
801C07E00,0.0,baseline structural profile; no graph anomalies detected
801C0FB60,0.0,baseline structural profile; no graph anomalies detected
801C40BF0,0.1,isolated micro-cluster (size=10)
801C5A580,0.1,isolated micro-cluster (size=9)
801C7C6D0,0.0,baseline structural profile; no graph anomalies detected
801C7D6A0,0.0,baseline structural profile; no graph anomalies detected
801C912F0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801C98AE0,0.0,baseline structural profile; no graph anomalies detected
801C9D3E0,0.0,baseline structural profile; no graph anomalies detected
801CAD7E0,0.1,isolated micro-cluster (size=5)
801CAD8D0,0.1,isolated micro-cluster (size=5)
801CAD9C0,0.136,isolated micro-cluster (size=5)
801CB1B60,0.1,isolated micro-cluster (size=5)
801CB1C00,0.1,isolated micro-cluster (size=5)
801CB1C50,0.2221,"isolated micro-cluster (size=5); high transaction volume (in=24, out=36)"
801CBAF20,0.0,baseline structural profile; no graph anomalies detected
801CBD470,0.1,isolated micro-cluster (size=6)
801CCF940,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801CD85A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801D03210,0.0,baseline structural profile; no graph anomalies detected
801D4EE90,0.0,baseline structural profile; no graph anomalies detected
801D83260,0.35,"high flow betweenness centrality (bc=1.38e-06); isolated micro-cluster (size=9); high transaction volume (in=20, out=75)"
801DA6080,0.0,baseline structural profile; no graph anomalies detected
801DAE650,0.1,isolated micro-cluster (size=8)
801DD5140,0.0,baseline structural profile; no graph anomalies detected
801DE8D10,0.0,baseline structural profile; no graph anomalies detected
801DFB5B0,0.0,baseline structural profile; no graph anomalies detected
801E2B3B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801E47D80,0.218,topological outlier in Node2Vec space (DBSCAN outlier)
801E6A920,0.0,baseline structural profile; no graph anomalies detected
801EC0260,0.0,baseline structural profile; no graph anomalies detected
801EC49C0,0.1,isolated micro-cluster (size=9)
801EC5530,0.1,isolated micro-cluster (size=9)
801EC5580,0.1,isolated micro-cluster (size=9)
801EC55D0,0.1,isolated micro-cluster (size=9)
801EC5710,0.1,isolated micro-cluster (size=9)
801EC5760,0.1,isolated micro-cluster (size=9)
801EC5F20,0.1,isolated micro-cluster (size=9)
801EC6010,0.1,isolated micro-cluster (size=9)
801ED4980,0.0,baseline structural profile; no graph anomalies detected
801ED61F0,0.2221,"isolated micro-cluster (size=7); high transaction volume (in=22, out=50)"
801ED6910,0.1,isolated micro-cluster (size=7)
801EE2770,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801F212F0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801F2E1A0,0.0,baseline structural profile; no graph anomalies detected
801F2E9B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801F307F0,0.1,isolated micro-cluster (size=9)
801F69530,0.0,baseline structural profile; no graph anomalies detected
801F7CB30,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
801FC1CB0,0.1,isolated micro-cluster (size=9)
801FEFC90,0.1,isolated micro-cluster (size=8)
80200A570,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802021CD0,0.1541,isolated micro-cluster (size=6)
802021D20,0.1,isolated micro-cluster (size=6)
802030F60,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802035310,0.1,isolated micro-cluster (size=9)
8020699D0,0.0,baseline structural profile; no graph anomalies detected
80206A100,0.0,baseline structural profile; no graph anomalies detected
8020A01E0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8020D3130,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8020D3EF0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8020D99C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8020EDF80,0.1,isolated micro-cluster (size=7)
8020F1BE0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8021008F0,0.218,topological outlier in Node2Vec space (DBSCAN outlier)
802111CD0,0.1,isolated micro-cluster (size=5)
802119C10,0.0,baseline structural profile; no graph anomalies detected
802145270,0.218,topological outlier in Node2Vec space (DBSCAN outlier)
80216CE90,0.1,isolated micro-cluster (size=7)
80216EE30,0.2581,"high flow betweenness centrality (bc=6.92e-07); isolated micro-cluster (size=8); high transaction volume (in=12, out=49)"
80216EE80,0.1,isolated micro-cluster (size=8)
802176B60,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802184880,0.0,baseline structural profile; no graph anomalies detected
802186F50,0.1,isolated micro-cluster (size=10)
8021882B0,0.1,isolated micro-cluster (size=10)
802188300,0.1,isolated micro-cluster (size=10)
802188350,0.1,isolated micro-cluster (size=10)
8021886B0,0.1,isolated micro-cluster (size=10)
802188CA0,0.1,isolated micro-cluster (size=10)
8021890A0,0.1,isolated micro-cluster (size=10)
802199BD0,0.1,isolated micro-cluster (size=10)
802199C20,0.1,isolated micro-cluster (size=10)
80219A8D0,0.1,isolated micro-cluster (size=10)
8021E0FE0,0.1,isolated micro-cluster (size=7)
8021F2480,0.1,isolated micro-cluster (size=6)
8021FFD30,0.0,baseline structural profile; no graph anomalies detected
802201890,0.0,baseline structural profile; no graph anomalies detected
80220D040,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802213DF0,0.0,baseline structural profile; no graph anomalies detected
802222410,0.0,baseline structural profile; no graph anomalies detected
802236EA0,0.0,baseline structural profile; no graph anomalies detected
8022480A0,0.1721,isolated micro-cluster (size=7)
80224CAA0,0.0,baseline structural profile; no graph anomalies detected
80225C2C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80226A860,0.0,baseline structural profile; no graph anomalies detected
80226C4C0,0.0,baseline structural profile; no graph anomalies detected
80226E680,0.0,baseline structural profile; no graph anomalies detected
80227A210,0.2851,"high flow betweenness centrality (bc=8.65e-07); isolated micro-cluster (size=7); high transaction volume (in=25, out=57)"
8022D83D0,0.0,baseline structural profile; no graph anomalies detected
80231AB70,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80231C910,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80233B380,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80234CE50,0.3302,"high flow betweenness centrality (bc=1.15e-06); isolated micro-cluster (size=8); high transaction volume (in=31, out=91)"
802375B20,0.0,baseline structural profile; no graph anomalies detected
8023C1EF0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8023C6E30,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8023C9750,0.1,isolated micro-cluster (size=5)
8023ED8B0,0.0,baseline structural profile; no graph anomalies detected
8023FBD80,0.1,isolated micro-cluster (size=8)
802400FB0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802413950,0.1,isolated micro-cluster (size=5)
8024139F0,0.136,isolated micro-cluster (size=5)
8024193E0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80241F950,0.0,baseline structural profile; no graph anomalies detected
802422010,0.2401,"high flow betweenness centrality (bc=5.77e-07); isolated micro-cluster (size=8); high transaction volume (in=34, out=74)"
802454150,0.1,isolated micro-cluster (size=6)
80247ACF0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80247BB70,0.0,baseline structural profile; no graph anomalies detected
8024802B0,0.1,isolated micro-cluster (size=7)
802486E50,0.0,baseline structural profile; no graph anomalies detected
8024C6BD0,0.1,isolated micro-cluster (size=8)
8024CEAA0,0.1,isolated micro-cluster (size=9)
8024D12E0,0.1,isolated micro-cluster (size=7)
8024E8770,0.0,baseline structural profile; no graph anomalies detected
802515ED0,0.0,baseline structural profile; no graph anomalies detected
8025215F0,0.1,isolated micro-cluster (size=9)
8025239F0,0.0,baseline structural profile; no graph anomalies detected
80252EF80,0.0,baseline structural profile; no graph anomalies detected
80254A380,0.0,baseline structural profile; no graph anomalies detected
80254F920,0.1,isolated micro-cluster (size=6)
80254F9C0,0.1,isolated micro-cluster (size=6)
80254FA60,0.1,isolated micro-cluster (size=6)
80255C3C0,0.1,isolated micro-cluster (size=5)
80255E030,0.1,isolated micro-cluster (size=5)
80255F6D0,0.0,baseline structural profile; no graph anomalies detected
802569B30,0.0,baseline structural profile; no graph anomalies detected
802577E80,0.0,baseline structural profile; no graph anomalies detected
80257A2F0,0.2581,"high flow betweenness centrality (bc=6.92e-07); isolated micro-cluster (size=9); high transaction volume (in=17, out=105)"
802591830,0.1,isolated micro-cluster (size=7)
8025AFB80,0.0,baseline structural profile; no graph anomalies detected
8025BE730,0.0,baseline structural profile; no graph anomalies detected
8025E5970,0.1,isolated micro-cluster (size=7)
8025F9120,0.0,baseline structural profile; no graph anomalies detected
802605BB0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8026096F0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8026367E0,0.1,isolated micro-cluster (size=5)
80264DE00,0.0,baseline structural profile; no graph anomalies detected
802657ED0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802657F70,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80265BCB0,0.0,baseline structural profile; no graph anomalies detected
802667790,0.1,isolated micro-cluster (size=9)
802678250,0.1,isolated micro-cluster (size=6)
80268DEF0,0.1,isolated micro-cluster (size=8)
80269F230,0.1,isolated micro-cluster (size=8)
8026B3760,0.0,baseline structural profile; no graph anomalies detected
8026B9670,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8026EC360,0.0,baseline structural profile; no graph anomalies detected
8026ED8D0,0.0,baseline structural profile; no graph anomalies detected
80271AD20,0.1,isolated micro-cluster (size=5)
80271DB90,0.0,baseline structural profile; no graph anomalies detected
802742B50,0.1541,isolated micro-cluster (size=9)
80276CE70,0.1,isolated micro-cluster (size=9)
80276E8D0,0.0,baseline structural profile; no graph anomalies detected
80277A7C0,0.1,isolated micro-cluster (size=10)
80278D510,0.1,isolated micro-cluster (size=8)
8027AC630,0.0,baseline structural profile; no graph anomalies detected
8027CD110,0.2401,"high flow betweenness centrality (bc=5.77e-07); isolated micro-cluster (size=8); high transaction volume (in=25, out=51)"
8027D8100,0.1,isolated micro-cluster (size=8)
8027DC5E0,0.1,isolated micro-cluster (size=9)
8027F18F0,0.0,baseline structural profile; no graph anomalies detected
802824F50,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802825930,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802849D60,0.0,baseline structural profile; no graph anomalies detected
80284C550,0.0,baseline structural profile; no graph anomalies detected
802851A10,0.0,baseline structural profile; no graph anomalies detected
80285CE30,0.0,baseline structural profile; no graph anomalies detected
80286CBA0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80286D280,0.218,topological outlier in Node2Vec space (DBSCAN outlier)
8028A4630,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8028FE1A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8029176F0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802917A10,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802959F80,0.0,baseline structural profile; no graph anomalies detected
80296CA20,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8029751E0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802980380,0.0,baseline structural profile; no graph anomalies detected
8029AFBC0,0.218,topological outlier in Node2Vec space (DBSCAN outlier)
8029DCFF0,0.2581,"high flow betweenness centrality (bc=6.92e-07); isolated micro-cluster (size=6); high transaction volume (in=24, out=83)"
8029ED1D0,0.2581,"high flow betweenness centrality (bc=6.92e-07); isolated micro-cluster (size=6); high transaction volume (in=17, out=40)"
8029FD6D0,0.1,isolated micro-cluster (size=5)
802A128A0,0.1,isolated micro-cluster (size=6)
802A136B0,0.1,isolated micro-cluster (size=5)
802A45100,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802A6DF40,0.1,isolated micro-cluster (size=8)
802A7F590,0.25,"topological outlier in Node2Vec space (DBSCAN outlier); high transaction volume (in=52, out=2)"
802A92B30,0.1,isolated micro-cluster (size=5)
802AC1D70,0.1,isolated micro-cluster (size=6)
802ACD260,0.1,isolated micro-cluster (size=7)
802AD2A00,0.1,isolated micro-cluster (size=5)
802ADC5B0,0.1,isolated micro-cluster (size=6)
802AF4F20,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802B23240,0.0,baseline structural profile; no graph anomalies detected
802B25500,0.1,isolated micro-cluster (size=6)
802B2A690,0.1,isolated micro-cluster (size=7)
802B35210,0.1,isolated micro-cluster (size=7)
802B59400,0.0,baseline structural profile; no graph anomalies detected
802B8DF60,0.0,baseline structural profile; no graph anomalies detected
802BC2530,0.1,isolated micro-cluster (size=7)
802BCFE40,0.0,baseline structural profile; no graph anomalies detected
802BE6300,0.0,baseline structural profile; no graph anomalies detected
802BF1730,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802C38120,0.45,participates in circular transfer cycle; isolated micro-cluster (size=6)
802C383E0,0.1,isolated micro-cluster (size=6)
802C38840,0.5131,participates in circular transfer cycle; isolated micro-cluster (size=6)
802C439B0,0.0,baseline structural profile; no graph anomalies detected
802C46080,0.1,isolated micro-cluster (size=9)
802C48E80,0.0,baseline structural profile; no graph anomalies detected
802C54340,0.0,baseline structural profile; no graph anomalies detected
802C54C70,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802C58090,0.1,isolated micro-cluster (size=9)
802C69C80,0.0,baseline structural profile; no graph anomalies detected
802C6B020,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802C6E9E0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802C70BB0,0.218,topological outlier in Node2Vec space (DBSCAN outlier)
802C71560,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802C79370,0.1,isolated micro-cluster (size=5)
802C8CF10,0.0,baseline structural profile; no graph anomalies detected
802CAE9D0,0.1,isolated micro-cluster (size=5)
802CCA7E0,0.0,baseline structural profile; no graph anomalies detected
802CCE400,0.1581,"high flow betweenness centrality (bc=6.92e-07); high transaction volume (in=3, out=62)"
802CD6E20,0.1,isolated micro-cluster (size=6)
802CD73C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802CE3AC0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802CE3B10,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802D1E340,0.0,baseline structural profile; no graph anomalies detected
802D21160,0.0,baseline structural profile; no graph anomalies detected
802D39430,0.1,isolated micro-cluster (size=5)
802D53570,0.1,isolated micro-cluster (size=10)
802D53700,0.1,isolated micro-cluster (size=10)
802D53880,0.1,isolated micro-cluster (size=10)
802D53B50,0.1,isolated micro-cluster (size=10)
802D53CE0,0.1,isolated micro-cluster (size=10)
802D53D80,0.1,isolated micro-cluster (size=10)
802D54930,0.1,isolated micro-cluster (size=10)
802D54980,0.1,isolated micro-cluster (size=10)
802D54A20,0.1,isolated micro-cluster (size=10)
802D54B60,0.1,isolated micro-cluster (size=10)
802D76360,0.0,baseline structural profile; no graph anomalies detected
802D85170,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802DA8920,0.1,isolated micro-cluster (size=5)
802DAA850,0.1,isolated micro-cluster (size=5)
802DB5A10,0.0,baseline structural profile; no graph anomalies detected
802DBE860,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802DC94C0,0.0,baseline structural profile; no graph anomalies detected
802DD5430,0.0,baseline structural profile; no graph anomalies detected
802E1C5F0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802ECCFF0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802ED8920,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802EE1F20,0.0,baseline structural profile; no graph anomalies detected
802EFA860,0.0,baseline structural profile; no graph anomalies detected
802EFB0C0,0.1,isolated micro-cluster (size=5)
802F3C9E0,0.209,topological outlier in Node2Vec space (DBSCAN outlier)
802F401B0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802F4C810,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802F55C80,0.0,baseline structural profile; no graph anomalies detected
802F56080,0.0811,high flow betweenness centrality (bc=5.19e-07)
802F92460,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802FA7310,0.0,baseline structural profile; no graph anomalies detected
802FAD250,0.0,baseline structural profile; no graph anomalies detected
802FB2C20,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802FB7770,0.0,baseline structural profile; no graph anomalies detected
802FBA3A0,0.1,isolated micro-cluster (size=5)
802FDD680,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
802FFA8C0,0.1,isolated micro-cluster (size=5)
803009080,0.1,isolated micro-cluster (size=8)
80302EEC0,0.136,isolated micro-cluster (size=5)
803042E00,0.0,baseline structural profile; no graph anomalies detected
80304E5F0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
803076D90,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8030774A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80308B8A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80309A250,0.1,isolated micro-cluster (size=8)
8030A49B0,0.1,isolated micro-cluster (size=5)
8030CD8B0,0.0,baseline structural profile; no graph anomalies detected
8030D37E0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8030DCBC0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8030E8C80,0.1,isolated micro-cluster (size=8)
8030F0360,0.2311,"high flow betweenness centrality (bc=5.19e-07); isolated micro-cluster (size=6); high transaction volume (in=21, out=66)"
8030F0750,0.1,isolated micro-cluster (size=6)
803100750,0.1,isolated micro-cluster (size=7)
80312B180,0.0,baseline structural profile; no graph anomalies detected
803130170,0.1,isolated micro-cluster (size=6)
803132450,0.0,baseline structural profile; no graph anomalies detected
803145180,0.0,baseline structural profile; no graph anomalies detected
80314ABA0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80314B220,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80314C230,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80314EC80,0.1,isolated micro-cluster (size=5)
80315FCD0,0.0,baseline structural profile; no graph anomalies detected
803165370,0.0,baseline structural profile; no graph anomalies detected
803193DC0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8031B7E50,0.0,baseline structural profile; no graph anomalies detected
8031DD260,0.1,isolated micro-cluster (size=7)
8031E6280,0.127,isolated micro-cluster (size=5)
803209820,0.0,baseline structural profile; no graph anomalies detected
80321F610,0.0,baseline structural profile; no graph anomalies detected
80321FA70,0.0,baseline structural profile; no graph anomalies detected
803220930,0.4941,participates in circular transfer cycle; high flow betweenness centrality (bc=9.23e-07)
80323AB50,0.0,baseline structural profile; no graph anomalies detected
803247FE0,0.0,baseline structural profile; no graph anomalies detected
803253540,0.0,baseline structural profile; no graph anomalies detected
80326BA30,0.0,baseline structural profile; no graph anomalies detected
80326D010,0.0,baseline structural profile; no graph anomalies detected
803270B90,0.0,baseline structural profile; no graph anomalies detected
803270BE0,0.0,baseline structural profile; no graph anomalies detected
803271FC0,0.0,baseline structural profile; no graph anomalies detected
803272580,0.35,participates in circular transfer cycle
803272710,0.0,baseline structural profile; no graph anomalies detected
803273E80,0.0,baseline structural profile; no graph anomalies detected
803274500,0.0,baseline structural profile; no graph anomalies detected
803274550,0.0,baseline structural profile; no graph anomalies detected
803274990,0.0,baseline structural profile; no graph anomalies detected
803274A30,0.0,baseline structural profile; no graph anomalies detected
803274AD0,0.0,baseline structural profile; no graph anomalies detected
8032751F0,0.0,baseline structural profile; no graph anomalies detected
8032788F0,0.0,baseline structural profile; no graph anomalies detected
80328C410,0.0,baseline structural profile; no graph anomalies detected
8032980A0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80329DBA0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8032A1BF0,0.0,baseline structural profile; no graph anomalies detected
8032AD9C0,0.0,baseline structural profile; no graph anomalies detected
8032DBB30,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8032FD420,0.0,baseline structural profile; no graph anomalies detected
80330D740,0.0,baseline structural profile; no graph anomalies detected
80330E030,0.0,baseline structural profile; no graph anomalies detected
80330EE20,0.277,"topological outlier in Node2Vec space (DBSCAN outlier); high transaction volume (in=35, out=16)"
80331C810,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
8033271A0,0.1,isolated micro-cluster (size=5)
80333CC00,0.1,isolated micro-cluster (size=7)
80333F6C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
803341720,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
803382690,0.1,isolated micro-cluster (size=6)
803383060,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80338A4A0,0.0,baseline structural profile; no graph anomalies detected
80339F5C0,0.0,baseline structural profile; no graph anomalies detected
80339FB50,0.0,baseline structural profile; no graph anomalies detected
8033A1CF0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
803419FE0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
803421B00,0.0,baseline structural profile; no graph anomalies detected
803427AC0,0.0,baseline structural profile; no graph anomalies detected
803430460,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
803434610,0.1,isolated micro-cluster (size=7)
80345B9D0,0.0,baseline structural profile; no graph anomalies detected
8034690C0,0.2,topological outlier in Node2Vec space (DBSCAN outlier)
80347F740,0.0,baseline structural profile; no graph anomalies detected
803482B10,0.0,baseline structural profile; no graph anomalies detected
80349F3F0,0.0,baseline structural profile; no graph anomalies detected
8034A4BC0,0.1,isolated micro-cluster (size=8)
8034B3590,0.0,baseline structural profile; no graph anomalies detected
8034ED6E0,0.0,baseline structural profile; no graph anomalies detected
80352A280,0.0,baseline structural profile; no graph anomalies detected
